,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
320,0 days 01:36:20.576000,HAM,44,,3.0,2.0,,,0 days 00:01:34.401000,0 days 00:00:43.993000,0 days 00:00:18.759000,0 days 01:35:17.906000,0 days 01:36:01.962000,0 days 01:36:20.649000,278.0,298.0,254.0,298.0,False,HARD,2.0,True,Mercedes,0 days 01:33:43.512000,2024-04-07 05:34:45.146,1,8.0,False,,False,False
321,0 days 01:37:58.879000,HAM,44,0 days 00:01:38.303000,4.0,2.0,,,0 days 00:00:35.858000,0 days 00:00:43.823000,0 days 00:00:18.622000,0 days 01:36:56.361000,0 days 01:37:40.184000,0 days 01:37:58.806000,276.0,298.0,258.0,299.0,True,HARD,3.0,True,Mercedes,0 days 01:36:20.576000,2024-04-07 05:37:22.210,1,8.0,False,,False,True
322,0 days 01:39:37.018000,HAM,44,0 days 00:01:38.139000,5.0,2.0,,,0 days 00:00:35.536000,0 days 00:00:43.844000,0 days 00:00:18.759000,0 days 01:38:34.342000,0 days 01:39:18.186000,0 days 01:39:36.945000,277.0,299.0,257.0,298.0,True,HARD,4.0,True,Mercedes,0 days 01:37:58.879000,2024-04-07 05:39:00.513,1,8.0,False,,False,True
323,0 days 01:41:15.208000,HAM,44,0 days 00:01:38.190000,6.0,2.0,,,0 days 00:00:35.579000,0 days 00:00:43.867000,0 days 00:00:18.744000,0 days 01:40:12.524000,0 days 01:40:56.391000,0 days 01:41:15.135000,273.0,299.0,254.0,301.0,False,HARD,5.0,True,Mercedes,0 days 01:39:37.018000,2024-04-07 05:40:38.652,1,8.0,False,,False,True
324,0 days 01:42:53.582000,HAM,44,0 days 00:01:38.374000,7.0,2.0,,,0 days 00:00:35.608000,0 days 00:00:43.999000,0 days 00:00:18.767000,0 days 01:41:50.743000,0 days 01:42:34.742000,0 days 01:42:53.509000,,298.0,254.0,299.0,False,HARD,6.0,True,Mercedes,0 days 01:41:15.208000,2024-04-07 05:42:16.842,1,8.0,False,,False,True
325,0 days 01:44:31.678000,HAM,44,0 days 00:01:38.096000,8.0,2.0,,,0 days 00:00:35.574000,0 days 00:00:43.767000,0 days 00:00:18.755000,0 days 01:43:29.083000,0 days 01:44:12.850000,0 days 01:44:31.605000,275.0,299.0,254.0,301.0,True,HARD,7.0,True,Mercedes,0 days 01:42:53.582000,2024-04-07 05:43:55.216,1,8.0,False,,False,True
326,0 days 01:46:10.211000,HAM,44,0 days 00:01:38.533000,9.0,2.0,,,0 days 00:00:35.734000,0 days 00:00:43.914000,0 days 00:00:18.885000,0 days 01:45:07.339000,0 days 01:45:51.253000,0 days 01:46:10.138000,273.0,298.0,252.0,299.0,False,HARD,8.0,True,Mercedes,0 days 01:44:31.678000,2024-04-07 05:45:33.312,1,8.0,False,,False,True
327,0 days 01:47:48.914000,HAM,44,0 days 00:01:38.703000,10.0,2.0,,,0 days 00:00:35.851000,0 days 00:00:44.070000,0 days 00:00:18.782000,0 days 01:46:45.989000,0 days 01:47:30.059000,0 days 01:47:48.841000,272.0,298.0,253.0,297.0,False,HARD,9.0,True,Mercedes,0 days 01:46:10.211000,2024-04-07 05:47:11.845,1,8.0,False,,False,True
328,0 days 01:49:28.206000,HAM,44,0 days 00:01:39.292000,11.0,2.0,,,0 days 00:00:35.838000,0 days 00:00:44.473000,0 days 00:00:18.981000,0 days 01:48:24.679000,0 days 01:49:09.152000,0 days 01:49:28.133000,274.0,297.0,253.0,300.0,False,HARD,10.0,True,Mercedes,0 days 01:47:48.914000,2024-04-07 05:48:50.548,1,8.0,False,,False,True
329,0 days 01:51:07.408000,HAM,44,0 days 00:01:39.202000,12.0,2.0,,,0 days 00:00:35.899000,0 days 00:00:44.422000,0 days 00:00:18.881000,0 days 01:50:04.032000,0 days 01:50:48.454000,0 days 01:51:07.335000,275.0,296.0,254.0,298.0,False,HARD,11.0,True,Mercedes,0 days 01:49:28.206000,2024-04-07 05:50:29.840,1,7.0,False,,False,True
330,0 days 01:52:47.648000,HAM,44,0 days 00:01:40.240000,13.0,2.0,,,0 days 00:00:35.824000,0 days 00:00:44.247000,0 days 00:00:20.169000,0 days 01:51:43.159000,0 days 01:52:27.406000,0 days 01:52:47.575000,277.0,296.0,255.0,298.0,False,HARD,12.0,True,Mercedes,0 days 01:51:07.408000,2024-04-07 05:52:09.042,1,7.0,False,,False,True
331,0 days 01:54:26.701000,HAM,44,0 days 00:01:39.053000,14.0,2.0,,,0 days 00:00:35.984000,0 days 00:00:44.192000,0 days 00:00:18.877000,0 days 01:53:23.559000,0 days 01:54:07.751000,0 days 01:54:26.628000,275.0,296.0,254.0,299.0,False,HARD,13.0,True,Mercedes,0 days 01:52:47.648000,2024-04-07 05:53:49.282,1,6.0,False,,False,True
332,0 days 01:56:05.616000,HAM,44,0 days 00:01:38.915000,15.0,2.0,,,0 days 00:00:35.941000,0 days 00:00:44.095000,0 days 00:00:18.879000,0 days 01:55:02.569000,0 days 01:55:46.664000,0 days 01:56:05.543000,,298.0,254.0,299.0,False,HARD,14.0,True,Mercedes,0 days 01:54:26.701000,2024-04-07 05:55:28.335,1,6.0,False,,False,True
333,0 days 01:57:44.309000,HAM,44,0 days 00:01:38.693000,16.0,2.0,,,0 days 00:00:35.818000,0 days 00:00:43.958000,0 days 00:00:18.917000,0 days 01:56:41.361000,0 days 01:57:25.319000,0 days 01:57:44.236000,277.0,297.0,255.0,299.0,False,HARD,15.0,True,Mercedes,0 days 01:56:05.616000,2024-04-07 05:57:07.250,1,4.0,False,,False,True
334,0 days 01:59:24.839000,HAM,44,0 days 00:01:40.530000,17.0,2.0,,,0 days 00:00:36.398000,0 days 00:00:44.256000,0 days 00:00:19.876000,0 days 01:58:20.634000,0 days 01:59:04.890000,0 days 01:59:24.766000,278.0,299.0,257.0,250.0,False,HARD,16.0,True,Mercedes,0 days 01:57:44.309000,2024-04-07 05:58:45.943,1,6.0,False,,False,True
335,0 days 02:01:04.143000,HAM,44,0 days 00:01:39.304000,18.0,2.0,,,0 days 00:00:36.162000,0 days 00:00:44.270000,0 days 00:00:18.872000,0 days 02:00:00.928000,0 days 02:00:45.198000,0 days 02:01:04.070000,276.0,298.0,254.0,298.0,False,HARD,17.0,True,Mercedes,0 days 01:59:24.839000,2024-04-07 06:00:26.473,1,6.0,False,,False,True
336,0 days 02:02:43.495000,HAM,44,0 days 00:01:39.352000,19.0,2.0,,,0 days 00:00:35.728000,0 days 00:00:44.662000,0 days 00:00:18.962000,0 days 02:01:39.798000,0 days 02:02:24.460000,0 days 02:02:43.422000,277.0,301.0,256.0,302.0,False,HARD,18.0,True,Mercedes,0 days 02:01:04.143000,2024-04-07 06:02:05.777,1,7.0,False,,False,True
337,0 days 02:04:22.114000,HAM,44,0 days 00:01:38.619000,20.0,2.0,,,0 days 00:00:35.668000,0 days 00:00:44.172000,0 days 00:00:18.779000,0 days 02:03:19.090000,0 days 02:04:03.262000,0 days 02:04:22.041000,276.0,298.0,254.0,299.0,False,HARD,19.0,True,Mercedes,0 days 02:02:43.495000,2024-04-07 06:03:45.129,1,7.0,False,,False,True
338,0 days 02:06:00.756000,HAM,44,0 days 00:01:38.642000,21.0,2.0,,,0 days 00:00:35.841000,0 days 00:00:43.997000,0 days 00:00:18.804000,0 days 02:04:57.882000,0 days 02:05:41.879000,0 days 02:06:00.683000,,297.0,255.0,298.0,False,HARD,20.0,True,Mercedes,0 days 02:04:22.114000,2024-04-07 06:05:23.748,1,7.0,False,,False,True
339,0 days 02:07:40.579000,HAM,44,0 days 00:01:39.823000,22.0,2.0,,,0 days 00:00:36.660000,0 days 00:00:44.270000,0 days 00:00:18.893000,0 days 02:06:37.343000,0 days 02:07:21.613000,0 days 02:07:40.506000,,298.0,254.0,300.0,False,HARD,21.0,True,Mercedes,0 days 02:06:00.756000,2024-04-07 06:07:02.390,1,8.0,False,,False,True
340,0 days 02:09:22.045000,HAM,44,0 days 00:01:41.466000,23.0,2.0,,0 days 02:09:20.721000,0 days 00:00:35.820000,0 days 00:00:44.201000,0 days 00:00:21.445000,0 days 02:08:16.326000,0 days 02:09:00.527000,0 days 02:09:21.972000,275.0,298.0,,298.0,False,HARD,22.0,True,Mercedes,0 days 02:07:40.579000,2024-04-07 06:08:42.213,1,8.0,False,,False,False
341,0 days 02:11:17.172000,HAM,44,0 days 00:01:55.127000,24.0,3.0,0 days 02:09:44.066000,,0 days 00:00:54.358000,0 days 00:00:42.356000,0 days 00:00:18.413000,0 days 02:10:16.330000,0 days 02:10:58.686000,0 days 02:11:17.099000,280.0,295.0,256.0,291.0,False,HARD,1.0,True,Mercedes,0 days 02:09:22.045000,2024-04-07 06:10:23.679,1,9.0,False,,False,False
342,0 days 02:12:52.604000,HAM,44,0 days 00:01:35.432000,25.0,3.0,,,0 days 00:00:34.524000,0 days 00:00:42.559000,0 days 00:00:18.349000,0 days 02:11:51.623000,0 days 02:12:34.182000,0 days 02:12:52.531000,279.0,297.0,255.0,296.0,True,HARD,2.0,True,Mercedes,0 days 02:11:17.172000,2024-04-07 06:12:18.806,1,9.0,False,,False,True
343,0 days 02:14:28.051000,HAM,44,0 days 00:01:35.447000,26.0,3.0,,,0 days 00:00:34.170000,0 days 00:00:42.728000,0 days 00:00:18.549000,0 days 02:13:26.701000,0 days 02:14:09.429000,0 days 02:14:27.978000,,297.0,254.0,295.0,False,HARD,3.0,True,Mercedes,0 days 02:12:52.604000,2024-04-07 06:13:54.238,1,9.0,False,,False,True
344,0 days 02:16:04.186000,HAM,44,0 days 00:01:36.135000,27.0,3.0,,,0 days 00:00:34.746000,0 days 00:00:42.943000,0 days 00:00:18.446000,0 days 02:15:02.724000,0 days 02:15:45.667000,0 days 02:16:04.113000,,299.0,256.0,297.0,False,HARD,4.0,True,Mercedes,0 days 02:14:28.051000,2024-04-07 06:15:29.685,1,9.0,False,,False,True
345,0 days 02:17:40.481000,HAM,44,0 days 00:01:36.295000,28.0,3.0,,,0 days 00:00:34.843000,0 days 00:00:42.959000,0 days 00:00:18.493000,0 days 02:16:38.956000,0 days 02:17:21.915000,0 days 02:17:40.408000,277.0,299.0,254.0,299.0,False,HARD,5.0,True,Mercedes,0 days 02:16:04.186000,2024-04-07 06:17:05.820,1,9.0,False,,False,True
346,0 days 02:19:17.227000,HAM,44,0 days 00:01:36.746000,29.0,3.0,,,0 days 00:00:34.932000,0 days 00:00:43.149000,0 days 00:00:18.665000,0 days 02:18:15.340000,0 days 02:18:58.489000,0 days 02:19:17.154000,280.0,299.0,255.0,298.0,False,HARD,6.0,True,Mercedes,0 days 02:17:40.481000,2024-04-07 06:18:42.115,1,9.0,False,,False,True
347,0 days 02:20:53.626000,HAM,44,0 days 00:01:36.399000,30.0,3.0,,,0 days 00:00:34.825000,0 days 00:00:42.982000,0 days 00:00:18.592000,0 days 02:19:51.979000,0 days 02:20:34.961000,0 days 02:20:53.553000,277.0,300.0,255.0,299.0,False,HARD,7.0,True,Mercedes,0 days 02:19:17.227000,2024-04-07 06:20:18.861,1,9.0,False,,False,True
348,0 days 02:22:30.212000,HAM,44,0 days 00:01:36.586000,31.0,3.0,,,0 days 00:00:35.010000,0 days 00:00:43.081000,0 days 00:00:18.495000,0 days 02:21:28.563000,0 days 02:22:11.644000,0 days 02:22:30.139000,278.0,299.0,256.0,297.0,False,HARD,8.0,True,Mercedes,0 days 02:20:53.626000,2024-04-07 06:21:55.260,1,9.0,False,,False,True
349,0 days 02:24:06.813000,HAM,44,0 days 00:01:36.601000,32.0,3.0,,,0 days 00:00:34.864000,0 days 00:00:43.096000,0 days 00:00:18.641000,0 days 02:23:05.003000,0 days 02:23:48.099000,0 days 02:24:06.740000,280.0,300.0,255.0,299.0,False,HARD,9.0,True,Mercedes,0 days 02:22:30.212000,2024-04-07 06:23:31.846,1,9.0,False,,False,True
350,0 days 02:25:43.257000,HAM,44,0 days 00:01:36.444000,33.0,3.0,,,0 days 00:00:34.902000,0 days 00:00:43.011000,0 days 00:00:18.531000,0 days 02:24:41.642000,0 days 02:25:24.653000,0 days 02:25:43.184000,278.0,300.0,255.0,299.0,False,HARD,10.0,True,Mercedes,0 days 02:24:06.813000,2024-04-07 06:25:08.447,1,8.0,False,,False,True
351,0 days 02:27:19.964000,HAM,44,0 days 00:01:36.707000,34.0,3.0,,,0 days 00:00:34.966000,0 days 00:00:43.168000,0 days 00:00:18.573000,0 days 02:26:18.150000,0 days 02:27:01.318000,0 days 02:27:19.891000,280.0,301.0,257.0,298.0,False,HARD,11.0,True,Mercedes,0 days 02:25:43.257000,2024-04-07 06:26:44.891,1,7.0,False,,False,True
352,0 days 02:28:56.478000,HAM,44,0 days 00:01:36.514000,35.0,3.0,,,0 days 00:00:34.839000,0 days 00:00:43.130000,0 days 00:00:18.545000,0 days 02:27:54.730000,0 days 02:28:37.860000,0 days 02:28:56.405000,277.0,300.0,257.0,300.0,False,HARD,12.0,True,Mercedes,0 days 02:27:19.964000,2024-04-07 06:28:21.598,1,7.0,False,,False,True
353,0 days 02:30:32.669000,HAM,44,0 days 00:01:36.191000,36.0,3.0,,,0 days 00:00:34.637000,0 days 00:00:43.020000,0 days 00:00:18.534000,0 days 02:29:31.042000,0 days 02:30:14.062000,0 days 02:30:32.596000,280.0,300.0,257.0,299.0,False,HARD,13.0,True,Mercedes,0 days 02:28:56.478000,2024-04-07 06:29:58.112,1,7.0,False,,False,True
354,0 days 02:32:09.291000,HAM,44,0 days 00:01:36.622000,37.0,3.0,,,0 days 00:00:34.803000,0 days 00:00:43.279000,0 days 00:00:18.540000,0 days 02:31:07.399000,0 days 02:31:50.678000,0 days 02:32:09.218000,277.0,300.0,257.0,300.0,False,HARD,14.0,True,Mercedes,0 days 02:30:32.669000,2024-04-07 06:31:34.303,1,6.0,False,,False,True
355,0 days 02:33:46.749000,HAM,44,0 days 00:01:37.458000,38.0,3.0,,,0 days 00:00:35.605000,0 days 00:00:43.258000,0 days 00:00:18.595000,0 days 02:32:44.823000,0 days 02:33:28.081000,0 days 02:33:46.676000,281.0,300.0,256.0,299.0,False,HARD,15.0,True,Mercedes,0 days 02:32:09.291000,2024-04-07 06:33:10.925,1,6.0,False,,False,True
356,0 days 02:35:25.779000,HAM,44,0 days 00:01:39.030000,39.0,3.0,,0 days 02:35:24.495000,0 days 00:00:34.938000,0 days 00:00:43.183000,0 days 00:00:20.909000,0 days 02:34:21.614000,0 days 02:35:04.797000,0 days 02:35:25.706000,,300.0,,299.0,False,HARD,16.0,True,Mercedes,0 days 02:33:46.749000,2024-04-07 06:34:48.383,1,6.0,False,,False,False
357,0 days 02:37:20.188000,HAM,44,0 days 00:01:54.409000,40.0,4.0,0 days 02:35:48.309000,,0 days 00:00:54.183000,0 days 00:00:41.851000,0 days 00:00:18.375000,0 days 02:36:19.889000,0 days 02:37:01.740000,0 days 02:37:20.115000,283.0,298.0,258.0,293.0,False,MEDIUM,2.0,False,Mercedes,0 days 02:35:25.779000,2024-04-07 06:36:27.413,1,9.0,False,,False,False
358,0 days 02:38:54.140000,HAM,44,0 days 00:01:33.952000,41.0,4.0,,,0 days 00:00:33.633000,0 days 00:00:42.033000,0 days 00:00:18.286000,0 days 02:37:53.748000,0 days 02:38:35.781000,0 days 02:38:54.067000,,299.0,258.0,296.0,True,MEDIUM,3.0,False,Mercedes,0 days 02:37:20.188000,2024-04-07 06:38:21.822,12,9.0,False,,False,True
359,0 days 02:40:28.378000,HAM,44,0 days 00:01:34.238000,42.0,4.0,,,0 days 00:00:33.805000,0 days 00:00:42.220000,0 days 00:00:18.213000,0 days 02:39:27.872000,0 days 02:40:10.092000,0 days 02:40:28.305000,279.0,299.0,258.0,297.0,False,MEDIUM,4.0,False,Mercedes,0 days 02:38:54.140000,2024-04-07 06:39:55.774,21,9.0,False,,False,True
360,0 days 02:42:02.460000,HAM,44,0 days 00:01:34.082000,43.0,4.0,,,0 days 00:00:33.727000,0 days 00:00:42.033000,0 days 00:00:18.322000,0 days 02:41:02.032000,0 days 02:41:44.065000,0 days 02:42:02.387000,281.0,300.0,257.0,297.0,False,MEDIUM,5.0,False,Mercedes,0 days 02:40:28.378000,2024-04-07 06:41:30.012,1,9.0,False,,False,True
361,0 days 02:43:36.797000,HAM,44,0 days 00:01:34.337000,44.0,4.0,,,0 days 00:00:33.907000,0 days 00:00:42.172000,0 days 00:00:18.258000,0 days 02:42:36.294000,0 days 02:43:18.466000,0 days 02:43:36.724000,280.0,300.0,257.0,298.0,False,MEDIUM,6.0,False,Mercedes,0 days 02:42:02.460000,2024-04-07 06:43:04.094,1,9.0,False,,False,True
362,0 days 02:45:11.588000,HAM,44,0 days 00:01:34.791000,45.0,4.0,,,0 days 00:00:34.053000,0 days 00:00:42.355000,0 days 00:00:18.383000,0 days 02:44:10.777000,0 days 02:44:53.132000,0 days 02:45:11.515000,,300.0,256.0,298.0,False,MEDIUM,7.0,False,Mercedes,0 days 02:43:36.797000,2024-04-07 06:44:38.431,1,9.0,True,TRACK LIMITS AT TURN 14 LAP 45 ,False,True
363,0 days 02:46:46.386000,HAM,44,0 days 00:01:34.798000,46.0,4.0,,,0 days 00:00:34.144000,0 days 00:00:42.357000,0 days 00:00:18.297000,0 days 02:45:45.659000,0 days 02:46:28.016000,0 days 02:46:46.313000,281.0,300.0,258.0,298.0,False,MEDIUM,8.0,False,Mercedes,0 days 02:45:11.588000,2024-04-07 06:46:13.222,1,9.0,False,,False,True
364,0 days 02:48:21.065000,HAM,44,0 days 00:01:34.679000,47.0,4.0,,,0 days 00:00:33.889000,0 days 00:00:42.469000,0 days 00:00:18.321000,0 days 02:47:20.202000,0 days 02:48:02.671000,0 days 02:48:20.992000,,300.0,257.0,299.0,False,MEDIUM,9.0,False,Mercedes,0 days 02:46:46.386000,2024-04-07 06:47:48.020,1,9.0,False,,False,True
365,0 days 02:49:55.965000,HAM,44,0 days 00:01:34.900000,48.0,4.0,,,0 days 00:00:33.944000,0 days 00:00:42.585000,0 days 00:00:18.371000,0 days 02:48:54.936000,0 days 02:49:37.521000,0 days 02:49:55.892000,,300.0,257.0,299.0,False,MEDIUM,10.0,False,Mercedes,0 days 02:48:21.065000,2024-04-07 06:49:22.699,1,9.0,False,,False,True
366,0 days 02:51:31.012000,HAM,44,0 days 00:01:35.047000,49.0,4.0,,,0 days 00:00:34.013000,0 days 00:00:42.648000,0 days 00:00:18.386000,0 days 02:50:29.905000,0 days 02:51:12.553000,0 days 02:51:30.939000,,300.0,258.0,300.0,False,MEDIUM,11.0,False,Mercedes,0 days 02:49:55.965000,2024-04-07 06:50:57.599,1,9.0,False,,False,True
367,0 days 02:53:06.442000,HAM,44,0 days 00:01:35.430000,50.0,4.0,,,0 days 00:00:34.170000,0 days 00:00:42.831000,0 days 00:00:18.429000,0 days 02:52:05.109000,0 days 02:52:47.940000,0 days 02:53:06.369000,279.0,301.0,259.0,302.0,False,MEDIUM,12.0,False,Mercedes,0 days 02:51:31.012000,2024-04-07 06:52:32.646,1,9.0,False,,False,True
368,0 days 02:54:41.918000,HAM,44,0 days 00:01:35.476000,51.0,4.0,,,0 days 00:00:34.439000,0 days 00:00:42.639000,0 days 00:00:18.398000,0 days 02:53:40.808000,0 days 02:54:23.447000,0 days 02:54:41.845000,282.0,303.0,258.0,302.0,False,MEDIUM,13.0,False,Mercedes,0 days 02:53:06.442000,2024-04-07 06:54:08.076,1,9.0,False,,False,True
369,0 days 02:56:17.153000,HAM,44,0 days 00:01:35.235000,52.0,4.0,,,0 days 00:00:34.100000,0 days 00:00:42.675000,0 days 00:00:18.460000,0 days 02:55:15.945000,0 days 02:55:58.620000,0 days 02:56:17.080000,283.0,303.0,259.0,301.0,False,MEDIUM,14.0,False,Mercedes,0 days 02:54:41.918000,2024-04-07 06:55:43.552,1,9.0,False,,False,True
370,0 days 02:57:52.926000,HAM,44,0 days 00:01:35.773000,53.0,4.0,,,0 days 00:00:34.410000,0 days 00:00:42.789000,0 days 00:00:18.574000,0 days 02:56:51.490000,0 days 02:57:34.279000,0 days 02:57:52.853000,282.0,304.0,251.0,303.0,False,MEDIUM,15.0,False,Mercedes,0 days 02:56:17.153000,2024-04-07 06:57:18.787,1,9.0,False,,False,True
